"normalized_entity","categories","sub_categories","details_list"
"adf","Asset,Unknown","Other Asset,Other","Spouse - ADF Navy Reserve Superannuation,ADF provided air transport and light refreshments for Parliamentarians, Journalists and Community members from RAAF Base Williamtown to RAAF Base Amberley to inspect the new Joint Strike Fighter on 6 March 2017"
"adfpp","Travel","Other Travel","ADFPP trip to the Middle East as a guest of the ADFPP from 31 July - 10th August 2012.,Self; ADFPP trip to the Middle East as a guest of the ADFPP from 31 July - 10 August 2012,Self; ADFPP Trip to Tennant Creek as Guest of ADFPP – 7 – 12 September 2014; ADDITION,Self - ADFPP trip to the Middle East as a guest of the ADFPP from July 31 - August 10, 2012"
"aecr","Travel","Other Travel","Alliance of European Conservatives and Reformists (AECR) invited me to deliver a speech at their recent conference in Prague on 15-18 September 2016. Flights, accommodation and incidentals for my wife and I were met by the AECR. Emirates upgraded my wife and I on a leg from Prague to Dubai."
"aeu","Unknown,Membership","Other,Other Membership","Member AEU,Life Member Werribee Netball Association, Member Western Environment Centre, Member AEU, Member ALP, Member AWY"
"afc","Gift","Entertainment","AFC Asian Cup - 2x Complimentary tickets to Newcastle Jets match, Newcastle"
"afe","Gift","Entertainment","Guest speaker @ AFL Maddie pierddy's Mord (3 Tichen), plus also such Adelaidl (x4) I collingwood (x2): Gust of AEL"
"afg","Liability,Asset","Mortgage,Other Asset","House mortgage,Mortgage,House Mortgage,Savings"
"afic","Asset","Shares","Shareholdings in AFIC"
"afl","Gift,Travel,Membership","Entertainment,Other Travel,Professional","I attended the AFL Grand Final in Melbourne with my wife, Margie, as a guest of the AFL.,I attended the AFL Grand Final as a guest of the AFL accompanied by my wife.,2 tickets from the AFL to the Grand Final at the MCG,Football from the AFL.,Was a guest of the AFL at the Grand Final.,My wife and I attended the AFL preliminary final & grand final as guests of Dansu Constructions.,AFL Grand Finals - 25 Sept / 2 Oct - 2 Tickets,Two tickets to AFL Semi Finals 2010 courtesy of AFL,Two tickets to AFL ..."
"aflw","Travel","Other Travel","5 tickets to AFLW Brisbane Lions Game vs Adelaide Crows."
"afppd","Travel","Other Travel","AFPPD sponsored travel to Manila to attend + present paper at 10th Women Ministers and Parliamentarians Conference. Airfares SYD-MANILA + Return, 5th + 8th Sept. Accomodation and hospitality during Conference.,AFPPD sponsored travel to Bangkok and Siem Reap to present at the 76th AFPPD Executive Committee meeting and the regional meeting of the Asia Pacific parliamentarians for Population Development Economy airfare New York - Bangkok - Siem Reap - New York and conference accommodation,As Chair ..."
"afta","Asset","Other Asset","Received a business card holder from AFTA, on 26 May"
"agc","Asset","Other Asset","24 Hr at Call,24hr at Call"
"agest","Asset","Other Asset","Superannuation account"
"agi","Travel,Unknown","Other Travel,Other","AGI - Michael McIntyer Tickets (ADDITION),AGI - Disney on Ice Tickets (ADDITION),AGI - State of Origin Tickets (ADDITION),ALL OWNED BY SPOUSE/PARTNER: AGI"
"agl","Asset,Unknown","Shares,Other","Sale of AGL shares held in joint names (David Charlotte Gillespie),Deletion: Shares AGL, Spouse sold remaining shares. PortMacquarie Gastroenterology Pty Ltd - deregistered the company,ALL OWNED BY SPOUSE/PARTNER: AGL,For my spouse, purchased AGL shares"
"ago","Asset","Shares","Shareholding in AGO,Shares"
"agr","Asset","Shares","Shares held by spouse"
"agu","Unknown","Other","N/A"
"aha","Travel,Gift,Unknown","Other Travel,Other Gift,Other,Hospitality,Entertainment","The vessel was chartered by the AHA and had members of the AHA present during the trip.,Undertook a trip with Phil Webster on MV Little Audrey on the Barrier Reef, Cairns between 13 - 18 November had the fuel paid for by the AHA; Had no knowledge that AHA were sponsoring the fuel for the trip until recently.,On the 5th October, I attended a BBQ Function at the AHA Offices, Sydney to watch the Sydney Fleet review function.,On the 4th November, I was a guest of the AHA National Executive Pre - Mel..."
"ahg","Unknown","Other","Purchased: AHG, GMA, MLO"
"ahia","Asset","Real Estate","1 Night Accommodation Shangri-La Hotel Sydney Tuesday 9 November 2010 cost covered by AHIA, Conference Convenor"
"ahl","Asset","Shares","Shares held by spouse"
"ahpra","Unknown","Other","Pharmacy Registration,AHPRA Pharmacy Registration"
"aia","Asset,Unknown","Other Asset,Other","Life Insurance - AIA, Motor Vehicles for personal use, Superannuation - PSS,Spouse Life Insurances"
"aicd","Unknown","Other","Women on Boards,N/A,AICD Member"
"aiia","Travel","Other Travel","Participant on the 2023 AIIA Trade Delegation to India on 4th June - 9th June. AllA covered the cost of my travel, including accommodation and return Business flights."
"aijac","Travel,Gift","Other Travel,Hospitality","Travelled to Israel between the 28th January to 4th February 2012 as a guest of the Australian Israel Jewish Affairs Council (AIJAC). All airfares, accommodation and meals were provided by AIJAC.,Return Business Class flights Perth to Israel. 28 January and 4 February. 2012. Provided by AIJAC,Study trip to Israel, April 2014: AIJAC sponsored trip: travel costs, meals and four nights' accommodation.,Study Group visit to Israel, Sunday May 3 - Thursday May 7 2015, Sponsored by AIJAC (Australian/Is..."
"aime","Unknown","Other","1 x jumper from AIME - received on 3 September 2021 - valued at $40"
"aimpe","Unknown","Other","Cologne valued at $145 from AIMPE."
"ajm","Asset","Shares,Other Asset","Shareholding in public companies (Goodyear Super fund) Trust,Superannuation Fund - Listed Companies,Superannuation Fund- Listed Companies"
"ald","Unknown","Other","Addition"
"alga","Gift","Hospitality","1 x hamper - received from ALGA on Monday 21st June 21 – valued at $60"
"alo","Unknown","Other","N/A"
"alp","Membership","Other Membership,Professional","N/A,Member ALP,Unknown,Spouse,Central Coast Chamber of Commerce,Member,Australian Labor Party (ALP),Patron various community based organisations; Councillor - Cessnock City Council,ALP,ALP, Shop Distributive and Allied Employees Association, Lakemba Bowling Club Benevolent Society and Local Registered Clubs,ALP, United Services Union,ALP member,ALP member owned by spouse/partner,Member of ALP, Williamstown Branch (Vic),Member of ALP, Footscray Branch (Vic),Life Member Werribee Netball Associatio..."
"alpg","Membership","Other Membership","31.10.17 ALPG National Women's Clinic Charlestown Golf Club Guest of ALPG Included entry fees and refreshments"
"am2","Liability","Credit","Credit Cards"
"ama","Unknown","Other","Resigned July 2019,Deletion, alteration,N/A"
"amaq","Gift","Hospitality","Ms Gambaro and her spouse were provided with corporate seats and hospitality to Suncorp Stadium on 18th March by AMAQ. Total $300.00"
"amcor","Unknown","Other","AMCOR (Spouse)"
"amec","Travel","Other Travel","Travel by helicopter for self between Newman and BC Iron mine site provided by BC Iron/AMEC."
"amex","Liability","Other Liability,Credit,Mortgage","charge card,Paid monthly to zero,CREDIT,Credit Card,Creditcard,Creditcard (Spouse/partner),Amex,CREDIT CARD,Self: Credit card,Spouse/partner: Credit card,Credit Cards (Joint with Spouse),Credit Cards,Mortgage, Viridian, VISA, Mastercard, Credit, Amex,CREDIT CARDS,Credit Cards / Flexi Loan
Mortgages,Credit Cards (Self)"
"amp","Asset,Liability","Shares,Other Asset,Mortgage,Other Liability","Was a guest of AMP at the South Sydney and Raiders match at Canberra Stadium.,Shareholdings in public and private companies,Managed Fund,mortgage,Spouse,Shares in AMP,The AMP Superannuation Fund Member,HENDERSON GROUP,HESFARMERS CABCHARGE,LIFE POLICY,Some AMP Shares,Superannuation,Superannuation (Self),Self - AMP,N/A,Shares held,AMP - Whole of Life Plan,Managed Fund; Self,Spouse's shareholdings,Managed Fund (Spouse),Superannuation (spouse),A number of AMP shares,Superannuation with AMP; Superann..."
"ampol","Gift","Entertainment","1 x NSW State of Origin rugby jersey from Ampol"
"amvz","Asset","Other Asset","AMVZ Superannuation Fund"
"an2","Liability","Mortgage","Self: Mortgage on Family Home, Personal Loan"
"anam","Asset","Real Estate","3 September 2024, Australian National Academy of Music 2024, Sydney Dinner, Bennelong Restaurant, Sydney Opera House 3 tickets"
"anz","Liability,Asset,Travel","Other Liability,Other Asset,Loan,Shares,Mortgage,Credit,Other Travel","No longer hold an ANZ Visa Card,Self: Savings Account, ANZ,Personal Loan,ANZ Car Loan.,Shareholdings,V2 Cash Management Account,Shareholding in ANZ,Savings Account,mortgage,AAFE savings account,ANZ Savings Account,Savings cheque account, Lifetime investment suc account,Mortgage on Residence (Spouse),Savings,Overdraft,Home Loan for Canberra, Equity Manager,Cheque,Personal Account,Shares held by dependent children,Spouse - Savings,Some Loans,Usual Savings and cheque Alcs,ANZ V2 Savings,Savings Acc..."
"aon","Asset","Other Asset","Superannuation - Spouse/partner"
"aou","Asset","Shares","In preparation for joining the Executive, I have sold my interests in the following shares: AOU, C6C and LYC. I therefore understand that all remaining shares held in my name are aggregate economy-wide ETFs."
"apa","Unknown","Other","N/A"
"apec","Gift,Asset","Other,Other Asset,Other Gift","Item:- APEC ‘Sama-Sama' Token valued at $950.00 I have declared and surrendered the above gifts to the Department of Prime Minister and Cabinet as per the attached Declaration of an Official Gift Exceeding Valuation Limit -DELETION,APEC Vicuna Leaders Scarf, paid the Collector of Public monies $874.27,APEC Leaders ShirtI have retained the above gift and paid the Collector of Public Monies the amount of $303.97"
"aphra","Unknown","Other","N/A,spouse/partner"
"apl","Gift","Entertainment","2 x AFL TICKETS TO WEEK THREE PRELIMINARY FINAL RECEIVED FROM APL ON 21/9/11 VALUED AT $ 132.00 EACH"
"aplng","Travel","Other Travel","Charter Flight 16-10-12 Touwoomba to Miles, return with APLNG."
"appea","Travel","Other Travel","Trip to northwest to see mining operations"
"apt","Unknown,Asset","Other,Shares","APT,Sale of shares,Acquisition of FANG, NEA, APT shares."
"apx","Asset","Shares","Purchase of shares"
"aqc","Asset","Shares","Local Shares"
"arb","Unknown","Other","ARB"
"areva","Travel","Other Travel","Various meals and transfers provided by AREVA on study tour in France over a 3 day period May 2011"
"arf","Unknown","Other","Held jointly with spouse in SMSF: Australian"
"aria","Unknown,Gift,Asset,Travel","Other,Entertainment,Other Asset,Other Travel","Attended Arias as a guest,Received a ticket to the ARIA awards night and attended as a guest of ARIA.,Declare 2 guest tickets for the ARIA Awards presentation on Sunday 27th November 2011 at the Allphone Arena Olympic Boulevard, Sydney Olympic Park. The tickets were given to me from Mr Dan Rosen, Chief Executive Officer of ARIA.,Superannuation - PSS Public Sector Super - Tower,My wife attended the U2 concert in Sydney, courtesy of ARIA"
"arlc","Gift","Entertainment","1 June 2023 - Tickets and hospitality - Game 1 2023 Ampol Women's State of Origin Series courtesy of the ARLC and NRL"
"arm","Unknown","Other","Self"
"aru","Unknown,Travel,Gift","Other,Other Travel,Entertainment","Guest of the ARU at the Wallabies v Lions game on 6 July 2013.,Guest of ARU at Wallabies vs France 7 June,Tickets to Brumbies vs Waratahs ANZ Stadium courtesy ARU,Tickets and hospitality - Wallabies vs Pumas Cbus Stadium Gold Coast courtesy ARU,Ticket to Wallabies vs Italy match, corporate box function hosted by the ARU.,The ARU provided two tickets to its Hirers suite at the Sydney 7's on 5 February 2017.,Two tickets to ARU suite to attend the Bledisloe test match on 19 August 2017,Two tickets ..."
"asahi","Gift,Asset","Entertainment,Other Asset","2 x corporate suite tickets for the AFL Grand Final on 28/09/2024,Gifted four cartons of Cascade beer from Asahi for the Parliamentary Cross-Bench Christmas event."
"aserf","Asset","Other Asset","ROLLOVER OF SUPERANNUATION FUND JANUARY 2014"
"asia","Asset","Shares","ASIA (Beta shares asia technology tigers ETF)"
"aspi","Unknown","Other","Conference attendance from March 30 to April 1 2015 at the ASPI 2015 International Conference"
"astra","Gift,Travel,Unknown,Membership,Income","Other Gift,Other Travel,Other,Other Membership,Other Income,Professional","I took up the complimentary offer that Astra extended to Members of Parliament to have Foxtel installed in my electorate office.,Base Level Subscription Television Service,Complimentary Electorate Office Pay TV subscription supplied,Foxtel Subscription for office television - basic package provided by Astra,Complimentary premium subscription television service package for electorate office.,Ongoing complimentary FOXTEL service at my Electorate office, provided by ASTRA.,Subscription Cable servic..."
"asu","Membership,Unknown","Other Membership,Other","Membership,Member,N/A,ASU NSW Branch Honorary Member"
"asx","Gift,Unknown,Asset","Hospitality,Other,Other Asset","Hospitality - Dinner ASX Board,ASX (Spouse),in Wilson-Bolger Superannuation Pty Ltd,in Wilson-Bolger Superannuation Pty Ltd. (Spouse/Partner)"
"at","Unknown","Other","Employment (Spouse)"
"atc","Gift","Hospitality","Guest at ATC Board of Directors Lunch $150.00"
"atlas","Asset,Unknown","Shares,Other","Shareholding in Atlas,Shareholdings in public and private companies,Atlas"
"aujs","Income","Other Income","Book titled 'Jewish ANZACS'"
"aust","Unknown","Other","N/A"
"avh","Unknown","Other","Listed Companies held by Spouse"
"avis","Travel","Other Travel","Avis President's Club membership - unknown value."
"avq","Asset","Shares","Shareholding in AVQ"
"aware","Unknown","Other","AWARE SUPER ACCOUNT"
"awb","Asset","Shares","Shareholdings in public and private companies (including holding companies)"
"awu","Membership,Unknown","Other Membership,Other","Union Membership (AWU),MEMBERSHIP - AWU,Spouse - Member of the AWU Queensland Branch Executive and the AWU National Executive,Australian Workers Union (AWU),AWU,N/A,AWU Life member"
"awy","Membership","Other Membership","Life Member Werribee Netball Association, Member Western Environment Centre, Member AEU, Member ALP, Member AWY"
"axa","Unknown","Other","AXA"
"axxa","Unknown,Asset","Other,Shares","Unknown,Shares,Self"
"azj","Unknown","Other","Deletion"
"bali","Asset","Real Estate","Accepted three nights' accommodation at the Padma Legian Hotel, Bali."
"bank","Asset","Other Asset","SAVINGS"
"bega","Asset","Shares,Real Estate","Investment,Spouse/partner, Investment,Investment real estate owned by Self,Investment real estate owned by Spouse/partner"
"bfrix","Asset","Other Asset","Item 7: BFRIX (Wilcrow) -DELETION"
"bgc","Gift","Entertainment","Self: 1 x corporate box ticket to State of Origin game 2 (23 June) - provided by BGC,Dependent children: 1 x corporate box ticket to State of Origin game 2 (23 June) - provided by BGC,2 x corporate suite tickets to Bledisloe Cup match at Optus Stadium Perth on 10 August 2019. Attended by Vince and Peta Connelly.,Two tickets (for myself and wife Peta Connelly) to attend the Hilltop Hoods concert in a corporate box at RAC Arena, Perth on Sat 7 September 2019."
"bhb","Unknown","Other","DIVESTED (AS PER ATTACHMENT)"
"bhp","Asset,Travel","Shares,Other Travel","Shares held by spouse,Shareholdings,Shareholding in BHP,Dependent Children,Shares owned by spouse (Paula Lindsey),Paula Lindsey Sale of shares,Paula Lindsey Pardare of BHP,Paula Lindsey (wife)- 15 Pardare, Partial Salu, Tigan Deavor La Pardores ,Partial, Savela; BHP,Purchase of Shares BHP,- Parce sale of Storer - BHP,Purchase and sale of all shares - Owned by Paula Lindsey - wife,Paula Lindsey (wife) - Partore of stores, Ris Ti,Ticket to IPA Annual Dinner Courtesy of BHP,Attachment # 1 Sharehold..."
"bitp","Unknown","Other","Joint"
"bkl","Asset","Shares","Striker SMSF holds shares in – BKL, CWN, QBE, SEK"
"bld","Asset","Shares","Shares ASL LISTED - WES, CSR, SUL, WBC, BLD, WHC, MMS"
"blg","Unknown","Other","ALL OWNED BY SPOUSE/PARTNER: BLG"
"block","Unknown","Other","Block - dependent children"
"bnbg","Asset","Other Asset","Managed Funds and Fixed Interest Securities"
"boat","Asset","Other Asset","Spouse/partner"
"boc","Unknown","Other","BOC - Self,BOC - dependent children"
"bond","Asset","Other Asset","Unknown"
"bono","Gift","Electronics,Entertainment","IPOD - 14/12/10,Tickets U2 concert - 18/12/10"
"boq","Asset,Liability,Unknown","Other Asset,Mortgage,Shares,Loan,Other Liability,Other","Mr Wyatt Roy - Personal Bank All - Bribie Island,Mr Wyatt Roy - Elect Allow BANK Ale - Bribie Island,Mortgage,Spouse Mortgage,Savings,Spouse Savings,Shareholding in BOQ,Purchased Shares in: NAB, TLS, BOQ, GEM,Self; Personal Loan,Self - Personal Loan. BOQ.,Self - Vehicle lease. BOQ,Self - Irrigation equipment lease. BOQ,SAVINGS,Savings account,Vehicle Lease,Irrigation equipment lease,N/A,Deletion"
"bowen","Asset","Real Estate","Residential Owner Occupier"
"bp","Gift","Entertainment","Attended the 2012 Australian Open Tennis on 22 January 2012 as a guest.,I attended the 2013 Australian Open on January 20, 2013 for the evening tennis session and hospitality with my wife, Kate, as a guest.,2 x tickets to AFL Freo vs WCE @ Optus Stadium (6/7/19) courtesy of BP - Value unknown"
"brg","Unknown","Other","ALL OWNED BY SPOUSE/PARTNER: BRG"
"bsl","Asset","Shares","Sale of shares"
"bt","Asset","Other Asset","Superannuation,DELETION: E. SAVINGS OR INVESTMENT ACCOUT. SUPERANNUATION BT,Superannuation (Spouse),AMP and BT"
"bupa","Unknown,Membership","Other,Other Membership","Member,Spouse/partner Member,Self: health insurance membership,Spouse/partner: health insurance membership"
"bussq","Asset","Other Asset","Spouse/partner - Superannuation"
"c6c","Asset","Shares","In preparation for joining the Executive, I have sold my interests in the following shares: AOU, C6C and LYC. I therefore understand that all remaining shares held in my name are aggregate economy-wide ETFs."
"ca","Travel","Other Travel","Entrance to attend and hospitality day 2 SCG Aus v Pakistan cricket test 2024 from CA"
"caa","Unknown","Other","CAA"
"caleb","Asset","Shares","Evolution and Oceanagold Shares"
"canva","Asset","Shares","Spouse- shareholding Canva"
"car","Asset","Other Asset","Car - Subaru Forrester (Family Car),Spouse/partner,Car,Deletion of Self - car"
"care","Asset,Travel","Other Asset,Other Travel","Superannuation Fund,Study Tour to Cambodia with CARE, November 2014"
"cat","Asset","Shares","Sale of shares"
"cba","Asset,Liability","Other Asset,Mortgage,Credit,Shares,Loan,Other Liability","3 Savings/Cheque Accounts,Mortgage,Savings account,Investment A/c,INVESTMENT A/c - Deleted,Cheque/Savings account,Self - Savings/cheque account,Self - Farm Business Account,Savings and cheque accounts, Farm Business accounts with CBA,VISA credit card, Viridian line of credit,Shares in Commonwealth Bank,Savings Account,Shares in IAG, Lend Lease, NAB, Wesfarmers, Woodside and joint shareholding with spouse in CBA (public companies). Share in Elysium Pty Ltd (private company). Shares in IAG, Telstr..."
"cbapb","Asset","Other Asset","Managed Funds and Fixed Interest Securities"
"cbus","Asset","Other Asset","Superannuation fund consolidation - my First State superannuation fund has been rolled into my CBUS superannuation fund. I now have one superannuation fund: CBUS.,Superannuation Account for self and spouse,SUPERANNUATION,Self - SUPERANNUATION"
"ce","Asset","Shares","Shares in CE & TS Boyce Family Trust,Shares in CE & TS Boyce"
"ceda","Gift,Asset,Unknown","Other Gift,Real Estate,Other","Pen from CEDA,Leather Card holder from CEDA for a breakfast I addressed at Parliament House on 25 June 2013,Member on the Council on Economic Policy, CEDA"
"cepu","Membership,Unknown","Other Membership,Other","MEMBERSHIP,N/A,Self"
"cfmeu","Unknown,Travel,Membership","Other,Other Travel,Other Membership","Antique Mining Lamp from the CFMEU Coal Miner's Memorial at Cessnock (19th Annual Memorial Day Service) 14.09.14,Hospitality - Accommodation and dinner provided by CFMEU at RACV Resort Torquay; Travel - Flights, accommodation and meals provided by Save the Children to Cambodia; Complimentary membership to Virgin Australia The Club; Complimentary membership to Qantas Chairmans Lounge; Complimentary membership to Virgin Australia The Club,Accommodation and dinner provided by CFMEU at RACV Resort T..."
"cgu","Unknown,Asset","Other,Other Asset","Attendance for self at Derby Day on 2 November 2013,Self and husband, Tickets & hospitality for the 2014 Melbourne Cup Carnival (Flemington) for my husband and me as guests"
"china","Unknown","Other","An Auratic authentic china tea set and Tong Quing Hao Purer tea"
"choe","Travel","Other Travel","Gifts during North Asia visit (Minister for Water Resources CHEN Lei, Minister Administration of Quality Supervision, Inspection and Quarantine ZHI Shuping, Minister for Agriculture HAN Changfu, Korean Minister for Agriculture, LEE Dong Phil, Head of JA Zenchu – OKUNO, CHOE, Minister for Agriculture MORIYAMA, Hiroshi)"
"cim","Asset","Shares","Shareholding in CIM"
"cis","Asset","Real Estate","One night's accommodation, meals and a complimentary shirt provided by the CIS as part of attending their August 2014 Consilium meeting."
"clan","Unknown","Other","Patron"
"clare","Unknown","Other","50% interest (self 25%, spouse 25%) - vacant land"
"clock","Gift","Other","14/11/22 - Clock: Commemorating Transfer of Groote Eylandt Township Lease to Community Control received by Minister. Presented by Anindilyakwa Land Council. Estimated value $280"
"clwr","Unknown","Other","Item 1 (a)"
"coh","Asset,Unknown","Shares,Other","Shareholding in COH,Held jointly with spouse in SMSF: Australian"
"col","Unknown","Other","N/A"
"coles","Unknown,Asset","Other,Shares","N/A,Coles share purchased in March 2021 (500 Shares),Shares in Coles"
"costa","Unknown","Other","Box containing 12 punnets of blueberries"
"cpsu","Unknown,Membership","Other,Other Membership","Member,Spouse membership of CPSU,Central Coast Chamber of Commerce,N/A,Membership,Spouse/Partner Membership,CPSU - Member,Spouse/Partner: CPSU Official,CPSU,CPSU member,CPSU member owned by spouse/partner"
"cqs","Travel","Other Travel","Travelled to New York City and London as a guest of CQS. They provided travel, some hospitality and accommodation."
"cra","Asset","Other Asset","Savings All,Savings Account"
"crown","Travel,Unknown,Asset","Air Travel,Other,Shares,Other Travel","Hotel room upgrades from Crown from time to time.,Addition,Shareholding in Crown,Two seats at a Chinese New Year event - Crown. Value unknown"
"cs","Unknown","Other","Gift of All Sain vatage Port (1965) by CS value $"
"csa","Liability,Asset","Credit,Other Asset","Credit Card,Savings, Cash Management"
"csbp","Asset","Trust","Family Trust"
"csl","Asset,Unknown","Shares,Other","Shares held by spouse,Shares with NAB Limited and CSL (Dependent Children),Purchase of shares,Held jointly with spouse in SMSF: Australian,Self and Spouse DRR, CSL, NXT,N/A"
"csr","Asset","Shares","Shares ASL LISTED - WES, CSR, SUL, WBC, BLD, WHC, MMS"
"cua","Asset,Liability,Gift","Other Asset,Loan,Mortgage,Entertainment","Savings,Car Loan,MORTGAGE - JOINT WITH SPOUSE PERSONAL LOAN,MORTGAGE- AS ABOVE CREDIT CARD,SAVINGS,Guest of CUA with Mr Prentice at Brisbane Broncos match 2016-08-18,Mortgage - Joint with Spouse, Personal Loan (CUA), Mortgage - As Above, Credit Card (NAB), Dependent Children: N/A,Savings (CUA), Cheque (NAB), Dependent Children: N/A,Mortgage - Joint with partner,Self - Mortgage - Joint with Partner,Spouse/Partner - Mortgage - Joint with Partner"
"cub","Gift","Entertainment","Accepted an invitation from CUB to attend the 2013 AFL Anzac Day lunch and match at the MCG on 25 April 2013.,I accepted an invitation from CUB, for myself and my wife, Maureen, to attend the 2014 AFL Anzac Day Game between Collingwood & Essendon on Friday 25 April 2014 at the MCG. Two tickets and hospitality for my wife and I were provided."
"cuba","Unknown,Gift","Other","Framed Calligraphy printI have retained the above gift and paid the Collector of Public Monies the amount of $55 being for the difference between the allowable limit and the value of the gift,Cuban CigarsI have surrendered this gift from the Ambassador of Cuba to the Department of the Prime Minister and Cabinet."
"cue","Unknown","Other","Voucher from Cue"
"cvb","Asset","Shares,Other Asset","Shares listed as at July 19, 2010,Listed Companies held by Pokana Super Fund"
"cwa","Unknown","Other","N/A"
"cwn","Asset","Shares","Striker SMSF holds shares in – BKL, CWN, QBE, SEK"
"cybg","Unknown,Asset","Other,Shares","Joint,Self,Shareholdings in CYBG,CYBG shares disposed of"
"cyca","Membership","Other Membership","Gift of membership of CYCA"
"dalby","Asset","Shares","Self: Dalby, Investment,Spouse: Dalby, Investment"
"dansu","Gift","Entertainment","I am writing to advise you that my wife and I attended an AFL match on Sunday July 30 as guests of Dansu.,My wile & I attended an AFL game as a guest of Dansu."
"dassh","Travel","Other Travel","On 25 September I travelled from Perth to Sydney to speak at the 2019 Annual Deans of Arts, Social Sciences and Humanities (DASSH) Conference hosted by DASSH. Cost of return economy airfares - $688.48. One night accommodation - $180. Transfers as required."
"dbjp","Asset","Other Asset","Item 7:- 3G Natural Resources Offshore Fund (self), GYLD (Wilcrow), DBJP (self) - ADDITION"
"dcns","Unknown","Other","1/400 scale model of Shortfin Barracuda, Value: $500"
"ddt","Unknown","Other","ALL OWNED BY SPOUSE/PARTNER: DDT"
"dexus","Unknown","Other","N/A"
"doha","Travel","Other Travel","Free of charge upgrade to a suite at the St Regis Hotel, Doha, Qatar."
"dough","Asset","Real Estate","Sponsorship of goods (paint, cleaning supplies, storage) and refreshments for community graffiti removal clean up drive"
"drr","Unknown","Other","Self and Spouse DRR, CSL, NXT"
"dubai","Travel","Other Travel","Free of charge upgrade to a suite at the Conrad Hotel, Dubai, UAE.,Lunch at the Madinat Jumeirah Hotel, Dubai, provided by the Madinat Jumeirah Hotel, Dubai, 30 November 2010. One night accommodation at the Intercontinental Hotel, Sydney, provided by Intercontinental Hotel, Sydney, 18 January 2011. Room upgrade at the Intercontinental Hotel, Sydney, provided by Intercontinental Hotel, Sydney, 19 January 2011."
