original_entity,expanded_entity
g20,Group of Twenty
gaicd,Graduate of the Australian Institute of Company Directors
gavi,"Gavi, the Vaccine Alliance"
gd,GD
ge,General Electric
gem,GEM
gesb,Government Employees Superannuation Board
gic,Government Investment Corporation of Singapore
gin,GIN
gopio,GOPIO
gpiix,GPIIX
gprix,GPRIX
gvk,GVK
gwa,GWA Group Limited
gwr,GWR Group Limited
gxl,GXL
gyld,GYLD
hanif,Hanif
hedj,HEDJ
hesta,Health Employees Superannuation Trust Australia
hjpn,HJPN
home,Home
hota,Home of the Arts
house,House
hsbc,Hongkong and Shanghai Banking Corporation
hsu,Health Services Union
hub24,HUB24
humm,Humm Group Limited
huntr,HUNTR
hvn,HVN
hyatt,Hyatt Hotels Corporation
hyg,HYG
iag,Insurance Australia Group
ial,IAL
iap,IAP
ibis,IBISWorld
ibm,International Business Machines Corporation
icjp,ICJP
ifl,IFL
ifpux,IFPUX
ig,IG
igk,IGK
iluka,Iluka Resources Limited
ing,ING Group
inpex,INPEX Corporation
iol,IOL
ioof,IOOF Holdings Limited
ipa,Institute of Public Affairs
ipac,IPAC
iph,IPH Limited
ipt,Industrial Property Trust
issac,ISSAC
isuzu,Isuzu Motors Ltd.
ivv,IVV
jag,Jaguar Land Rover
jean,Jean
jng,JNG
johor,Johor
kerry,Kerry Group
kew,Kew
kimba,Kimba
kmart,Kmart Australia Limited
kpg,KPG
kpmg,KPMG
lag,LAG
lc,LC
lexus,Lexus
lgaq,Local Government Association of Queensland
lhpp,LHPP
lion,Lion
lions,Lions
lll,LLL
lltk,LLTK
lnp,Liberal National Party
loans,Loans
lorne,Lorne
lqd,LQD
lucrf,LUCRF Super
lyc,Lynas Rare Earths Limited
made,MADE
mbf,MBF
mc,MC
mcc,Melbourne Cricket Club
mcg,Melbourne Cricket Ground
mcri,Murdoch Children's Research Institute
me,ME Bank
mea,MEA
mech,MECH
mecu,ME Bank
meta,"Meta Platforms, Inc."
mfc,MFC
mffo,MFFO
mgc,MGC
mgf,Magellan Financial Group
mgs,MGS
miami,Miami
mich,Michigan
micsx,MICSX
mio,MIO
ml,ML
mlb,Major League Baseball
mlc,MLC Limited
mm,MM
mms,MMS
mnd,MND
moana,Moana
moy,Moy
mpl,MPL
mqg,MQG
mrc,MRC
mrma,MRMA
msbs,MSBS
mtc,MTC
mumm,Mumm
mvf,MVF
mxupa,MXUPA
myer,Myer Holdings Ltd
myjet,MyJet
myola,Myola
myr,Malaysian Ringgit
mys,MYOB Group Limited
n aqc,N AQC
na,NA
nab,National Australia Bank
nag,NAG
nato,North Atlantic Treaty Organization
nba,National Basketball Association
nbl,National Basketball League
nea,NEA
nexus,Nexus
nfl,National Football League
nga,National Gallery of Australia
nhc,NHC
nib,nib Health Funds
nic,NIC
nida,National Institute of Dramatic Art
nil,NIL
nine,Nine Entertainment Co.
nly,NLY
north,North
npc,NPC
nrl,National Rugby League
nrma,National Roads and Motorists' Association
nsw,New South Wales
nt,Northern Territory
nteu,National Tertiary Education Union
nxt,NEXTDC
oecd,Organisation for Economic Co-operation and Development
okuno,Okuno
optus,Optus
ore,ORE
orica,Orica Limited
orl,ORL
osh,OSH
oxfam,Oxfam
p 500,P 500
p2p,Peer-to-peer
pall,PALL
paris,Paris
pdi,PDI
penna,PENNA
perth,Perth
pff,PFF
pfxf,PFXF
pga,Professional Golfers' Association
plum,Plum
pon,PON
prr,PRR
prro,PRRO
pss,PSS
pssap,PSSAP
ptm,PTM
pwc,pwc
qan,qan
qatar,qatar
qbank,qbank
qbe,qbe
qbyan,qbyan
qcb,qcb
qld,qld
qotor,qotor
qpac,qpac
qpcu,qpcu
qraa,qraa
qsml,qsml
qtic,qtic
raaa,raaa
rabo,rabo
rac,rac
raca,raca
racgp,racgp
racha,racha
racp,racp
racq,racq
racu,racu
racv,racv
racwa,racwa
rae,rae
rams,rams
rbf,rbf
rcgc,rcgc
rdo,rdo
rea,rea
reid,reid
resi,resi
rest,rest
rex,rex
rfx,rfx
rhc,rhc
rio,rio
rmd,rmd
rpgc,rpgc
rsl,rsl
rtrfm,rtrfm
rub,rub
ruok,ruok
rusi,rusi
s32,s32
sa,sa
saca,saca
sanfl,sanfl
sbs,sbs
scale,scale
scg,scg
scp,scp
sda,sda
sdf,sdf
sdrl,sdrl
sdrlk,sdrlk
seek,seek
sek,sek
self,self
serco,serco
seven,seven
sgiix,sgiix
shape,shape
shell,shell
sil,sil
silex,silex
siv,siv
slk,slk
smsf,smsf
smst,smst
sons,sons
spdmm,spdmm
spn,spn
spy,spy
stars,stars
sul,sul
sun,sun
syd,syd
szl,szl
tafe,tafe
tal,tal
taz,taz
teco,teco
tesla,tesla
tg1,tg1
tgs,tgs
tio,tio
tkms,tkms
tls,tls
tne,tne
toll,toll
tower,tower
trigg,trigg
ttf,ttf
twe,twe
twr,twr
twu,twu
tyx,tyx
u2,u2
uae,uae
ubank,ubank
uber,uber
ubs,ubs
uci,uci
uff,uff
uk,uk
unsw,unsw
usa,usa
usu,usu
uws,uws
va925,va925
vas,vas
vax,vax
vcx,vcx
vecci,vecci
vesg,vesg
vgk,vgk
vgt,vgt
vht,vht
vhy,vhy
vic,vic
vig,vig
visa,visa
visy,visy
vline,vline
vlue,vlue
vocus,vocus
vow3d,vow3d
vowg,vowg
vrc,vrc
vtg,vtg
vuk,vuk
vw,vw
w pac,w pac
wa,wa
waca,waca
wbc,wbc
wce,wce
wctpa,wctpa
wds,wds
wes,wes
wests,wests
wfd,wfd
wfe,wfe
whc,whc
whia,whia
wot,wot
wow,wow
wpl,wpl
wwf,wwf
xes,xes
xle,xle
xlp,xlp
xlu,xlu
xme,xme
xop,xop
xro,xro
ypo,ypo
z1p,z1p
zegna,zegna
μου,μου
сва,сва
