Entity Name,Classification,Confidence,Split Entities,Explanation
Australian Political Exchange Council (APEC) and Japan Centre for International Exchange (JCIE),MULTIPLE,HIGH,"Australian Political Exchange Council (APEC), Japan Centre for International Exchange (JCIE)",Two distinct organizations facilitating an exchange program.
"Lenna of Hobart and Salamanca Terraces; Park Hyatt, Melbourne",MULTIPLE,HIGH,"Lenna of Hobart and Salamanca Terraces, Park Hyatt, Melbourne",These are separate hotels/hotel complexes.
"Air China, Sheraton Beijing Dongcheng Hotel; China Council for the Promotion of International Trade and Asia Inc Forum",MULTIPLE,HIGH,"Air China, Sheraton Beijing Dongcheng Hotel, China Council for the Promotion of International Trade, Asia Inc Forum","An airline, a hotel, and two separate organizations are listed."
Chinese Peoples Institute for Foreign Affairs and Beijing Forum,MULTIPLE,HIGH,"Chinese Peoples Institute for Foreign Affairs, Beijing Forum",Two distinct Chinese organizations are mentioned.
Government and some local governments,MULTIPLE,HIGH,"Government, some local governments",Clearly refers to multiple levels of government.
State and Commonwealth,MULTIPLE,HIGH,"State government, Commonwealth government",Refers to state and federal governments in Australia.
ANZ and AMEX,MULTIPLE,HIGH,"ANZ, AMEX",Two separate financial institutions.
Suncorp and ARU,MULTIPLE,HIGH,"Suncorp, ARU","Two separate Australian organizations, likely in finance and rugby."
Tennis Australia and Virgin Australia,MULTIPLE,HIGH,"Tennis Australia, Virgin Australia",Two distinct Australian organizations.
National Rugby League and the Board of New South Wales Rugby League,MULTIPLE,HIGH,"National Rugby League, the Board of New South Wales Rugby League",Two different governing bodies for Rugby League.
"Loans between M Turnbull, L Turnbull, A Turnbull & D Turnbull and entities listed in 1 (b) above.",MULTIPLE,HIGH,"M Turnbull, L Turnbull, A Turnbull & D Turnbull, entities listed in 1 (b) above",This clearly indicates a group of individuals and a separate group of entities involved in loans.
Australia-Canada Economic Leadership Forum and London Olympics,MULTIPLE,HIGH,"Australia-Canada Economic Leadership Forum, London Olympics",These are two completely separate events.
"Tom Molomby SC, Paul Heywood-Smith QC and Senator Nick Xenophon",MULTIPLE,HIGH,"Tom Molomby SC, Paul Heywood-Smith QC, Senator Nick Xenophon",Three different individuals.
Westpac and Bendigo,MULTIPLE,HIGH,"Westpac, Bendigo",Two separate Australian banks.
"MEMBERS EQUITI BANK, AMERICAN EXPRESS",MULTIPLE,HIGH,"MEMBERS EQUITI BANK, AMERICAN EXPRESS",These are two distinct financial institutions.
"MEMBERS EQUITY BANK, AMERICAN EXPRESS",MULTIPLE,HIGH,"MEMBERS EQUITY BANK, AMERICAN EXPRESS",These are two distinct financial institutions.
"ST GEORGE BANK, KUDOS BANK",MULTIPLE,HIGH,"ST GEORGE BANK, KUDOS BANK",These are two separate Australian banks.
"ST GEORGE BANK, ING.",MULTIPLE,HIGH,"ST GEORGE BANK, ING",These are two separate financial institutions operating in Australia.
"QANTAS, VIRGIN",MULTIPLE,HIGH,"QANTAS, VIRGIN",Qantas and Virgin are two competing Australian airline companies.
"Xi Jinping, President, Peoples Republic of China",MULTIPLE,HIGH,"Xi Jinping, President, Peoples Republic of China","This refers to a person, their title, and a country."
"Mayor of Hamburg, Federal Republic of Germany",MULTIPLE,HIGH,"Mayor of Hamburg, Federal Republic of Germany","This refers to a position, a city, and a country."
"Baby Essawy, Palestinian Authority",MULTIPLE,HIGH,"Baby Essawy, Palestinian Authority",This refers to a person and a governing body.
"Van Manen Family Trust, Van Manen Unit Trust",MULTIPLE,HIGH,"Van Manen Family Trust, Van Manen Unit Trust",These are likely two different trust structures.
"Riviera Super Pty Ltd (Trustee), Van Manen Family Superannuation Fund",MULTIPLE,HIGH,"Riviera Super Pty Ltd (Trustee), Van Manen Family Superannuation Fund",This lists a trustee company and a superannuation fund.
"Riviera Super Pty Ltd, Van Manen Investments Pty Ltd, Daughters of Promise",MULTIPLE,HIGH,"Riviera Super Pty Ltd, Van Manen Investments Pty Ltd, Daughters of Promise",These are three distinct entities.
"CBA, GE",MULTIPLE,HIGH,"CBA, GE",CBA (Commonwealth Bank of Australia) and GE (General Electric) are separate entities.
"CBA, Qantas, Paypal",MULTIPLE,HIGH,"CBA, Qantas, Paypal",These are three distinct organizations.
"QANTAS, Virgin",MULTIPLE,HIGH,"QANTAS, Virgin",Qantas and Virgin are two competing Australian airline companies.
"Kelowna, British Columbia, Canada",MULTIPLE,HIGH,"Kelowna, British Columbia, Canada","This lists a city, a province, and a country."
"The Indinup Trust, Avondale Investment Trust",MULTIPLE,HIGH,"The Indinup Trust, Avondale Investment Trust",These are two different trust entities.
"GESB, First National Parliamentary Contributory Superannuation Scheme",MULTIPLE,HIGH,"GESB, First National Parliamentary Contributory Superannuation Scheme",These are two distinct superannuation entities.
"Qantas Chairman's Lounge, Velocity Club Virgin",MULTIPLE,HIGH,"Qantas Chairman's Lounge, Velocity Club Virgin",These are different airline lounge programs.
"IF Foundation, Swan Chamber of Commerce, Kalamunda Chamber of Commerce, Lesmurdie Club, Lesmurdie Ratepayers Association, 500 Club, Knights of the Order of St John, Southern Districts Rotary Club, Swan Districts Football Club",MULTIPLE,HIGH,"IF Foundation, Swan Chamber of Commerce, Kalamunda Chamber of Commerce, Lesmurdie Club, Lesmurdie Ratepayers Association, 500 Club, Knights of the Order of St John, Southern Districts Rotary Club, Swan Districts Football Club",These are all separate organizations.
"Bank of Queensland, Lowy Institute",MULTIPLE,HIGH,"Bank of Queensland, Lowy Institute",These are a bank and a think tank.
"South Sydney RLFC, Qantas Chairman Lounge, Virgin Club Lounge",MULTIPLE,HIGH,"South Sydney RLFC, Qantas Chairman Lounge, Virgin Club Lounge",A sports club and airline lounges.
"Archbishop Makarios, Greek Orthodox Church of Australia",MULTIPLE,HIGH,"Archbishop Makarios, Greek Orthodox Church of Australia",A religious leader and the church.
"Self, Gilbert Frank Investments P/L, Superanuation account",MULTIPLE,HIGH,"Self, Gilbert Frank Investments P/L, Superannuation account","An individual, an investment company, and a superannuation account."
"ANZ, Suncorp",MULTIPLE,HIGH,"ANZ, Suncorp",Two separate Australian financial institutions.
"St Helens, Tasmania",MULTIPLE,HIGH,"St Helens, Tasmania",A town and a state in Australia.
"Arnotts, Hachette Australia",MULTIPLE,HIGH,"Arnotts, Hachette Australia",A biscuit company and a publishing company.
"Mr Adwar Rassam, Diageo Australia",MULTIPLE,HIGH,"Mr Adwar Rassam, Diageo Australia",A person and an alcohol company.
"McKell Institute, Lion Brewing",MULTIPLE,HIGH,"McKell Institute, Lion Brewing",A think tank and a brewing company.
"Virgin Australia, National Press Club, Astra-Foxtel, Qantas",MULTIPLE,HIGH,"Virgin Australia, National Press Club, Astra-Foxtel, Qantas","An airline, a press club, a media company, and another airline."
"Cazaly's Football Club, Cairns",MULTIPLE,HIGH,"Cazaly's Football Club, Cairns",A football club and a city in Australia.
"Vice Patron, QLD Target Sports Inc.",MULTIPLE,HIGH,"Vice Patron, QLD Target Sports Inc.",A title and an organization.
"Vice Patron, QLD Rifle Association Inc.",MULTIPLE,HIGH,"Vice Patron, QLD Rifle Association Inc.",A title and an organization.
"Patron, QLD Labor Enabled",MULTIPLE,HIGH,"Patron, QLD Labor Enabled",A title and an organization.
"Student, University of New England",MULTIPLE,HIGH,"Student, University of New England",A person's status and an educational institution.
"Patron, Qld Labor for Refugees",MULTIPLE,HIGH,"Patron, Qld Labor for Refugees",A title and an organization.
"Author, chapter for forthcoming book on human rights, Australian Catholic University",MULTIPLE,HIGH,"Author, chapter for forthcoming book on human rights, Australian Catholic University","A person's role, a book project, and a university."
"Member of the Queensland Advisory Board of the McKell Institute, a research institute",MULTIPLE,HIGH,"Member of the Queensland Advisory Board of the McKell Institute, a research institute","A position, an organization and a general description."
"Morningside, QLD",MULTIPLE,HIGH,"Morningside, QLD",A suburb and a state.
"United Nations Association of Australia, Qld Division",MULTIPLE,HIGH,"United Nations Association of Australia, Qld Division",An organization and its division.
"Reid, ACT",MULTIPLE,HIGH,"Reid, ACT",A suburb and a territory.
"Meldon, VIC",MULTIPLE,HIGH,"Meldon, VIC",A town and a state.
"QANTAS, VIRGIN, FOXTEL",MULTIPLE,HIGH,"QANTAS, VIRGIN, FOXTEL","An airline, an airline, and a telecommunications company."
"Care Leavers Australasia Network (CLAN), Bankstown District Sports Club, Bankstown RSL, White Ribbon Ambassador, Bankstown Youth Development Service (BYDS)",MULTIPLE,HIGH,"Care Leavers Australasia Network (CLAN), Bankstown District Sports Club, Bankstown RSL, White Ribbon Ambassador, Bankstown Youth Development Service (BYDS)",Multiple organizations and a title.
"ING, COMMONWEALTH BANK",MULTIPLE,HIGH,"ING, COMMONWEALTH BANK",Two separate Australian banks.
"Patscherkofel Lodge, Mount Buller",MULTIPLE,HIGH,"Patscherkofel Lodge, Mount Buller",A lodge and a mountain resort location.
"University of New South Wales, Faculty of Business",MULTIPLE,HIGH,"University of New South Wales, Faculty of Business",A university and one of its faculties.
"John Short, Aurizon Australia",MULTIPLE,HIGH,"John Short, Aurizon Australia","John Short is an individual, and Aurizon Australia is a company."
"Virgin, Qantas, Etihad",MULTIPLE,HIGH,"Virgin, Qantas, Etihad",These are three separate airline companies.
"Dr Chau of Kingold Group, Vice President of the Republic of Indonesia",MULTIPLE,HIGH,"Dr Chau of Kingold Group, Vice President of the Republic of Indonesia","This refers to two distinct individuals, one associated with a company and the other with a government position."
"Opera Australia, Essendon Football Club",MULTIPLE,HIGH,"Opera Australia, Essendon Football Club",These are two distinct and separate organizations.
"Toyota, AFL",MULTIPLE,HIGH,"Toyota, AFL","Toyota is a car manufacturer, AFL is the Australian Football League."
"President U Thein Sein of Myanmar, President Xi Jinping of the People's Republic of China",MULTIPLE,HIGH,"President U Thein Sein of Myanmar, President Xi Jinping of the People's Republic of China","These are two different individuals, presidents of different countries."
"Virgin Australia Airlines, Qantas Australia Airlines",MULTIPLE,HIGH,"Virgin Australia Airlines, Qantas Australia Airlines",These are two competing Australian airlines.
"Qantas, Emirates, Linfox",MULTIPLE,HIGH,"Qantas, Emirates, Linfox",These are three distinct companies – two airlines and a logistics company.
"Charles Bilich, Mr Xiangmo Huang, International Department CPC Central Committee",MULTIPLE,HIGH,"Charles Bilich, Mr Xiangmo Huang, International Department CPC Central Committee",Two individuals and a department of the Chinese Communist Party.
"Fortescue Metals Group, International Department of the CCCP, Qantas",MULTIPLE,HIGH,"Fortescue Metals Group, International Department of the CCCP, Qantas","A mining company, a (presumably defunct) department, and an airline."
"Parliamentary Press Gallery, Melbourne Football Club, Various artists",MULTIPLE,HIGH,"Parliamentary Press Gallery, Melbourne Football Club, Various artists","Three distinct entities: a press gallery, a football club, and a group of artists."
"Fraser Suites, Royal on the Park, ALP National Secretariat",MULTIPLE,HIGH,"Fraser Suites, Royal on the Park, ALP National Secretariat",Two hotel chains and the Australian Labor Party's national secretariat.
"ING bank, Commonwealth bank",MULTIPLE,HIGH,"ING bank, Commonwealth bank",Two separate Australian banks.
"ANZ, Commonwealth bank",MULTIPLE,HIGH,"ANZ, Commonwealth bank",Two separate Australian banks.
"ING, Commonwealth bank.",MULTIPLE,HIGH,"ING, Commonwealth bank",Two separate Australian banks.
"Westpac, Commonwealth bank.",MULTIPLE,HIGH,"Westpac, Commonwealth bank",Two separate Australian banks.
"Qantas, Virgin Australia, Foxtel",MULTIPLE,HIGH,"Qantas, Virgin Australia, Foxtel","An airline, an airline, and a media company."
"WESTPAC, CBA, NT Credit Union",MULTIPLE,HIGH,"WESTPAC, CBA, NT Credit Union",Three separate financial institutions.
"Australian Education Union, UNICEF, World Vision",MULTIPLE,HIGH,"Australian Education Union, UNICEF, World Vision","Three separate organizations: a union, and two international charities."
"St Andrew's College, University of Sydney, College Council",MULTIPLE,HIGH,"St Andrew's College, University of Sydney, College Council","A college, a university, and a council – three distinct entities."
"Bendigo Bank, Australian National Credit Union (C.U.A), Members Equity (M.E.)",MULTIPLE,HIGH,"Bendigo Bank, Australian National Credit Union (C.U.A), Members Equity (M.E.)",Three different financial institutions.
"Bully Zero Australia Foundation, Hugh Middendorp",MULTIPLE,HIGH,"Bully Zero Australia Foundation, Hugh Middendorp",A foundation and an individual.
"Hugh Middendorp, Victoria First",MULTIPLE,HIGH,"Hugh Middendorp, Victoria First",An individual and an organization.
"ING, ANZ",MULTIPLE,HIGH,"ING, ANZ",Two separate Australian banks.
"Mr Andrew Forrest, Fortescue Metals",MULTIPLE,HIGH,"Mr Andrew Forrest, Fortescue Metals",An individual and the company he is associated with.
"Pokana Pty Limited, Trustee of Superannuation Fund",MULTIPLE,HIGH,"Pokana Pty Limited, Trustee of Superannuation Fund",A company and a trustee role for a fund.
"Biennale of Sydney, Advisory Panel on Capital City Infrastructure, Expert Panel on Constitutional Recognition of Local Government, Integrated Design Strategy Expert Panel, Sydney Metropolitan Development Authority",MULTIPLE,HIGH,"Biennale of Sydney, Advisory Panel on Capital City Infrastructure, Expert Panel on Constitutional Recognition of Local Government, Integrated Design Strategy Expert Panel, Sydney Metropolitan Development Authority",Multiple distinct organisations and panels.
"Bowery Opportunity Fund, CVC Global Credit Opportunity Fund",MULTIPLE,HIGH,"Bowery Opportunity Fund, CVC Global Credit Opportunity Fund",Two separate investment funds.
"SGIIX, MSD Energy Partners Ltd, MSD Torchlight Partners Ltd, VGT, VIG",MULTIPLE,HIGH,"SGIIX, MSD Energy Partners Ltd, MSD Torchlight Partners Ltd, VGT, VIG",Multiple investment entities.
"Zebedee Growth Fund, Brookfield Wells Street Offshore Fund",MULTIPLE,HIGH,"Zebedee Growth Fund, Brookfield Wells Street Offshore Fund",Two separate investment funds.
"3G Natural Resources Offshore Fund, GYLD, DBJP",MULTIPLE,HIGH,"3G Natural Resources Offshore Fund, GYLD, DBJP",Multiple investment entities.
"MICSX, VGK",MULTIPLE,HIGH,"MICSX, VGK",Two separate investment vehicles.
"Pillemer Pty Ltd, Revo Pty Ltd",MULTIPLE,HIGH,"Pillemer Pty Ltd, Revo Pty Ltd",Two separate companies.
"The Committee for Sydney, Australian Technology Park Precinct Management Ltd, United States Study Centre",MULTIPLE,HIGH,"The Committee for Sydney, Australian Technology Park Precinct Management Ltd, United States Study Centre",Three separate organizations.
"AM2, CBA, HSBC, WESTPAC, NAB, AMEX, CITIBANK, DAVID JONES, NATIONAL AUSTRALIA BANK",MULTIPLE,HIGH,"AM2, CBA, HSBC, WESTPAC, NAB, AMEX, CITIBANK, DAVID JONES, NATIONAL AUSTRALIA BANK",Multiple financial institutions and a department store.
"HSBC UK, Commonwealth Bank, NAB",MULTIPLE,HIGH,"HSBC UK, Commonwealth Bank, NAB",Three separate banks.
KJ & AJ Pitt Family Trust /KLARE (QId) Pty Ltd,MULTIPLE,HIGH,"KJ & AJ Pitt Family Trust, KLARE (QId) Pty Ltd",The use of '/' clearly separates two distinct entities: a family trust and a Pty Ltd company.
K & A Pitt Family Trust / KLARE (Qld) Pty Ltd,MULTIPLE,HIGH,"K & A Pitt Family Trust, KLARE (Qld) Pty Ltd",The use of '/' clearly separates two distinct entities: a family trust and a Pty Ltd company.
KJ & AJ Pitt Super Fund No. 2 / K & A Pitt Super Pty Ltd,MULTIPLE,HIGH,"KJ & AJ Pitt Super Fund No. 2, K & A Pitt Super Pty Ltd",The use of '/' clearly separates two distinct entities: a superannuation fund and a Pty Ltd company.
"HE Sheikh Khalid bin Abdullah Al-Khalifa, HE Dr Juma bin Ahmed Al-Kaabi, Saleh-Al-Munajem",MULTIPLE,HIGH,"HE Sheikh Khalid bin Abdullah Al-Khalifa, HE Dr Juma bin Ahmed Al-Kaabi, Saleh-Al-Munajem",The context clearly shows three distinct individuals giving gifts.  The use of 'from' after each name reinforces the separation.
"Mr Brendan Pearson, Minerals Council of Australia",MULTIPLE,HIGH,"Mr Brendan Pearson, Minerals Council of Australia",An individual and a well-known Australian organization are listed together.
"Winemakers' Federation of Australia, AUSVEG, Committee for Economic Development of Australia (CEDA), Opera Australia",MULTIPLE,HIGH,"Winemakers' Federation of Australia, AUSVEG, Committee for Economic Development of Australia (CEDA), Opera Australia",Four separate and distinct Australian organizations are listed.
"Cr Don Chambers, Indigo Shire Council",MULTIPLE,HIGH,"Cr Don Chambers, Indigo Shire Council",An individual (Cr Don Chambers) and a local Australian government entity (Indigo Shire Council) are named together.
"Rabobank, National Farmers Federation",MULTIPLE,HIGH,"Rabobank, National Farmers Federation",Two distinct Australian organizations are mentioned.
"Mr John Cassegrain, Michael Hope",MULTIPLE,HIGH,"Mr John Cassegrain, Michael Hope","Two individuals are named, giving gifts from their respective entities (implied)."
"Bindaree Beef, The Australia Ballet",MULTIPLE,HIGH,"Bindaree Beef, The Australia Ballet","Two distinct Australian entities; one a business, the other a performing arts organization."
"CropLife Australia, Embassy of the Islamic Republic of Iran, Shenzhen Zhonglong Food Company",MULTIPLE,HIGH,"CropLife Australia, Embassy of the Islamic Republic of Iran, Shenzhen Zhonglong Food Company","Three distinct entities, an Australian organization, a foreign embassy, and a foreign company."
"CHEN Lei, ZHI Shuping, HAN Changfu, LEE Dong Phil, OKUNO, CHOE, MORIYAMA, Hiroshi",MULTIPLE,HIGH,"CHEN Lei, ZHI Shuping, HAN Changfu, LEE Dong Phil, OKUNO, CHOE, MORIYAMA, Hiroshi","Multiple individuals are listed, likely from different organizations."
"ANZ, Commonwealth, NAB, Metway",MULTIPLE,HIGH,"ANZ, Commonwealth, NAB, Metway",These are four separate Australian financial institutions.
"Crown Resort, Perth",MULTIPLE,HIGH,"Crown Resort, Perth","Crown Resort is a specific entity, while Perth is a location."
"Strathfield, NSW",MULTIPLE,HIGH,"Strathfield, NSW","Strathfield is a suburb, and NSW is a state.  They are distinct geographical entities."
"Gundagai, NSW",MULTIPLE,HIGH,"Gundagai, NSW","Similar to Strathfield, NSW, this is a location (town and state)."
"Hume Building Society, NAB",MULTIPLE,HIGH,"Hume Building Society, NAB",Two separate financial institutions are listed.
"Main Beach, QLD 4217",MULTIPLE,HIGH,"Main Beach, QLD 4217","Main Beach is a location, QLD is a state, and 4217 is a postcode.  Three distinct geographical identifiers."
"Empire Theatre, Toowoomba",MULTIPLE,HIGH,"Empire Theatre, Toowoomba","Empire Theatre is a specific theatre, and Toowoomba is its location."
"St George Bank, ANZ, NAB, Citibank",MULTIPLE,HIGH,"St George Bank, ANZ, NAB, Citibank",Four separate financial institutions are listed.
"ANZ, CUA, NAB, Macarthur Credit Union",MULTIPLE,HIGH,"ANZ, CUA, NAB, Macarthur Credit Union",Four separate financial institutions are listed.
"Central Coast Bears, Woongarah Football Club",MULTIPLE,HIGH,"Central Coast Bears, Woongarah Football Club",Two separate Australian Rules Football clubs are listed.
"Central Coast Bears, Woongarah FC",MULTIPLE,HIGH,"Central Coast Bears, Woongarah FC",Two separate Australian Rules Football clubs are listed.
"CommBank, CitiBank, AMEX",MULTIPLE,HIGH,"CommBank, CitiBank, AMEX",Three separate financial institutions are listed.
"Australian Rugby Union, Showcall Crewing Pty Ltd",MULTIPLE,HIGH,"Australian Rugby Union, Showcall Crewing Pty Ltd","Two distinct Australian entities, a sporting organization and a private company."
"Park Hyatt Hotel, The Rocks, Sydney",MULTIPLE,HIGH,"Park Hyatt Hotel, The Rocks, Sydney",Park Hyatt Hotel is a specific hotel; The Rocks and Sydney provide its location (suburb and city).
"Volvo Cars, Bilia South Yarra",MULTIPLE,HIGH,"Volvo Cars, Bilia South Yarra","Volvo Cars is a car manufacturer, and Bilia South Yarra appears to be a dealership or related entity."
"ANZ, NAB",MULTIPLE,HIGH,"ANZ, NAB",Two distinct Australian financial institutions are listed.
"Brisbane, QLD",MULTIPLE,HIGH,"Brisbane, QLD","Brisbane is a city, and QLD is a state."
"Gold Coast, QLD",MULTIPLE,HIGH,"Gold Coast, QLD","Gold Coast is a region, and QLD is a state."
"Sunshine Coast, QLD",MULTIPLE,HIGH,"Sunshine Coast, QLD","Sunshine Coast is a region, and QLD is a state."
"National Rural Health Alliance, Friends of the Alliance",MULTIPLE,HIGH,"National Rural Health Alliance, Friends of the Alliance","Two distinct organizations are mentioned, one being a supporting group of the other."
"Bendigo Bank, NAB",MULTIPLE,HIGH,"Bendigo Bank, NAB",Two separate Australian financial institutions are listed.
"Terry Slaugher, Springfield Lakes IGA",MULTIPLE,HIGH,"Terry Slaugher, Springfield Lakes IGA",An individual and a business are listed.
"Mr Wang Jianlin, Chairman of the Wanda Group, China",MULTIPLE,HIGH,"Mr Wang Jianlin, Chairman of the Wanda Group, China","An individual, the company they chair, and their country of origin are specified."
"Conrad Hotel, Dubai, UAE",MULTIPLE,HIGH,"Conrad Hotel, Dubai, UAE","Conrad Hotel is a specific hotel, while Dubai and UAE provide the location (city and country)."
"Sheraton Kuwait Hotel, Kuwait City, Kuwait",MULTIPLE,HIGH,"Sheraton Kuwait Hotel, Kuwait City, Kuwait",Sheraton Kuwait Hotel is a specific hotel; Kuwait City and Kuwait provide the location (city and country).
"St Regis Hotel, Doha, Qatar",MULTIPLE,HIGH,"St Regis Hotel, Doha, Qatar",St Regis Hotel is a specific hotel; Doha and Qatar provide the location (city and country).
"National Aust Bank, Medibank",MULTIPLE,HIGH,"National Aust Bank, Medibank",These are two distinct and well-known Australian financial institutions.
"Griffith, ACT",MULTIPLE,HIGH,"Griffith, ACT","Griffith is a suburb, and ACT is the Australian Capital Territory. They are distinct geographical entities."
"HUME BUILDING SOCIETY, NAB",MULTIPLE,HIGH,"HUME BUILDING SOCIETY, NAB",HUME BUILDING SOCIETY and NAB (National Australia Bank) are separate financial institutions.
"NAB, Suncorp, Warwick Credit Union",MULTIPLE,HIGH,"NAB, Suncorp, Warwick Credit Union",These are three separate Australian financial institutions.
"Barton, ACT",MULTIPLE,HIGH,"Barton, ACT","Barton is a suburb in Canberra, and ACT is the Australian Capital Territory."
"H.E. Orhan Tavli, Governor of Canakkale",MULTIPLE,HIGH,"H.E. Orhan Tavli, Governor of Canakkale",This refers to a person and their title/position.  They are not a single entity.
"Prince Henry Heights, Toowoomba, QLD",MULTIPLE,HIGH,"Prince Henry Heights, Toowoomba, QLD","Prince Henry Heights is a suburb within Toowoomba, which is in Queensland.  These are distinct geographical locations."
"Pure Land Learning College Assoc, Toowoomba",MULTIPLE,HIGH,"Pure Land Learning College Assoc, Toowoomba",This is an organization and a location; two separate entities.
"Westpac, CBA",MULTIPLE,HIGH,"Westpac, CBA",Westpac and CBA (Commonwealth Bank of Australia) are distinct Australian banks.
"Southern Districts Rugby Union Club, Sylvania Waters",MULTIPLE,HIGH,"Southern Districts Rugby Union Club, Sylvania Waters",A rugby club and a location; two separate entities.
"Joko Widodo, President of Indonesia",MULTIPLE,HIGH,"Joko Widodo, President of Indonesia",This is a person and their title; two separate entities.
"Peter O'Neill, Prime Minister of Papua New Guinea",MULTIPLE,HIGH,"Peter O'Neill, Prime Minister of Papua New Guinea",This is a person and their title; two separate entities.
"Mrs Estelle Tallis, First Lady of the Republic of Vanuatu",MULTIPLE,HIGH,"Mrs Estelle Tallis, First Lady of the Republic of Vanuatu",This is a person and their title; two separate entities.
"Dr Shrish Acharya, Acting Medical Superintendent, Colonial War Memorial Hospital",MULTIPLE,HIGH,"Dr Shrish Acharya, Acting Medical Superintendent, Colonial War Memorial Hospital","This refers to a person, their position, and the hospital; three separate entities."
"Buderim, QLD",MULTIPLE,HIGH,"Buderim, QLD",Buderim is a suburb in Queensland. They are distinct geographical entities.
"Newstead, QLD",MULTIPLE,HIGH,"Newstead, QLD",Newstead is a suburb in Queensland. They are distinct geographical entities.
"Maroochydore, QLD",MULTIPLE,HIGH,"Maroochydore, QLD",Maroochydore is a suburb in Queensland. They are distinct geographical entities.
"National Union of Workers, Emily's List",MULTIPLE,HIGH,"National Union of Workers, Emily's List",These are two separate organizations.
"Kingston, ACT",MULTIPLE,HIGH,"Kingston, ACT","Kingston is a suburb in Canberra, and ACT is the Australian Capital Territory."
"Rosebery, NSW",MULTIPLE,HIGH,"Rosebery, NSW",Rosebery is a suburb in New South Wales. They are distinct geographical entities.
"Ljubljana, Slovenia",MULTIPLE,HIGH,"Ljubljana, Slovenia",Ljubljana is a city in Slovenia. They are distinct geographical entities.
"AICD, Women on Boards",MULTIPLE,HIGH,"AICD, Women on Boards",These are two distinct organizations.
"ANZ, BANK SA",MULTIPLE,HIGH,"ANZ, BANK SA",ANZ (Australia and New Zealand Banking Group) and BANK SA are separate banks.
"State Minister for Tourism, the Hon Leon Bignell MP",MULTIPLE,HIGH,"State Minister for Tourism, the Hon Leon Bignell MP",This refers to a position and the person holding it; two separate entities.
"former State Minister for Tourism, the Hon Leon Bignell MP",MULTIPLE,HIGH,"former State Minister for Tourism, the Hon Leon Bignell MP",This refers to a former position and the person who held it; two separate entities.
"Grand Hyatt, Taiwan",MULTIPLE,HIGH,"Grand Hyatt, Taiwan",This is a hotel and a country; two separate entities.
"CUA, NAB",MULTIPLE,HIGH,"CUA, NAB",CUA and NAB (National Australia Bank) are separate financial institutions.
"Werribee Netball Association, Western Environment Centre, AEU, ALP, AWY",MULTIPLE,HIGH,"Werribee Netball Association, Western Environment Centre, AEU, ALP, AWY",These are five separate organizations.
"ZONTA CLUB OF MOUNT BARKER, SCOUTS SA TORRENS VALLEY",MULTIPLE,HIGH,"ZONTA CLUB OF MOUNT BARKER, SCOUTS SA TORRENS VALLEY",These are two distinct organizations.
"Financial Contributor, Nick Xenophon Team",MULTIPLE,HIGH,"Financial Contributor, Nick Xenophon Team",This is a role and a political party; two separate entities.
"Qantas, Virgin Australia, Foxtel, ASTRA",MULTIPLE,HIGH,"Qantas, Virgin Australia, Foxtel, ASTRA",These are four separate Australian companies.
